batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
3940,CrackIVF,16,63024,16,14023,100,10,42,99999,27041.10338591272,22.355878027155995,20.443454035557806,1.9124239915981889,0.0,20.42355400044471,1.9849740201607347,0.0,0.0,0.0,0.015951052773743868,1,1.0,0.93125,0.860625
3941,CrackIVF,16,63040,16,14023,100,10,42,99999,27045.277471886948,4.174085974227637,1.0111770243383944,3.1629089498892426,0.0,0.983277044724673,0.0,0.0,0.0,0.0,0.023990054614841938,1,0.9375,0.9,0.843125
3942,CrackIVF,16,63056,16,14023,100,10,42,99999,27048.69937087642,3.4218989894725382,0.9757269872352481,2.44617200223729,0.0,0.9517669677734375,0.0,0.0,0.0,0.0,0.02051901537925005,1,1.0,0.8875,0.820625
3943,CrackIVF,16,63072,16,14023,100,10,42,99999,27051.97814089479,3.2787700183689594,0.9704569820314646,2.308313036337495,0.0,0.9512769756838679,0.0,0.0,0.0,0.0,0.01650000922381878,1,1.0,0.90625,0.819375
3944,CrackIVF,16,63088,16,14023,100,10,42,99999,27055.03774085082,3.0595999560318887,0.9460169821977615,2.113582973834127,0.0,0.9230269934050739,0.0,0.0,0.0,0.0,0.019549974240362644,1,1.0,0.925,0.86
3945,CrackIVF,16,63104,16,14023,100,10,42,99999,27058.011950866785,2.974210015963763,0.9778270032256842,1.9963830127380788,0.0,0.9547770023345947,0.0,0.0,0.0,0.0,0.020020001102238894,1,0.9375,0.89375,0.830625
3946,CrackIVF,16,63120,16,14023,100,10,42,99999,27060.494712844957,2.482761978171766,0.8016069768927991,1.6811550012789667,0.0,0.7826969958841801,0.0,0.0,0.0,0.0,0.01632998464629054,1,1.0,0.90625,0.83625
3947,CrackIVF,16,63136,16,14023,100,10,42,99999,27063.339583808556,2.844870963599533,0.8161779842339456,2.0286929793655872,0.0,0.7909070118330419,0.0,0.0,0.0,0.0,0.021990970708429813,1,0.9375,0.925,0.845
3948,CrackIVF,16,63152,16,14023,100,10,42,99999,27066.289774840698,2.950191032141447,0.9554370190016925,1.9947540131397545,0.0,0.9332569898106158,0.0,0.0,0.0,0.0,0.01924001844599843,1,0.9375,0.9,0.8225
3949,CrackIVF,16,63168,16,14023,100,10,42,99999,27069.173025840428,2.8832509997300804,0.9514170233160257,1.9318339764140546,0.0,0.9288769797421992,0.0,0.0,0.0,0.0,0.01958903158083558,1,0.9375,0.9625,0.86
3950,CrackIVF,16,63184,16,14023,100,10,42,99999,27072.026745823678,2.8537199832499027,0.8289969991892576,2.024722984060645,0.0,0.8105270098894835,0.0,0.0,0.0,0.0,0.016000005416572094,1,1.0,0.89375,0.8475
3951,CrackIVF,16,63200,16,14023,100,10,42,99999,27075.098285800777,3.0715399770997465,0.8316980092786252,2.239841967821121,0.0,0.8063280256465077,0.0,0.0,0.0,0.0,0.022060004994273186,1,0.875,0.90625,0.855
3952,CrackIVF,16,63216,16,14023,100,10,42,99999,27077.705506817438,2.6072210166603327,0.7943169912323356,1.8129040254279971,0.0,0.7753680110909045,0.0,0.0,0.0,0.0,0.01645000884309411,1,1.0,0.8875,0.83875
3953,CrackIVF,16,63232,16,14023,100,10,42,99999,27080.376787867863,2.671281050425023,0.7934769964776933,1.8778040539473295,0.0,0.7745170150883496,0.0,0.0,0.0,0.0,0.016489997506141663,1,1.0,0.9,0.82375
