dataset_name,skew,seed,nruns,index_name,nlist,cracks_history,nprobe,niter,add_time,train_time,total_build_time,cracking_overhead_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,run_date,cmd
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",1,10,,,,,0.3973359858500771,,0.5186933965887874,0.5499499966390431,0.5961099814157933,0.6357375773601234,0.6574699946213514,0.7629883999470621,1.2362386519089341,0.16289350898855953,25.622759262551188,25167.61722099141,0.5715,0.47746,0.320357,16,16,10000,2025-02-27 08:36:21,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",2,10,,,,,0.4232401733461302,,0.5316453985869884,0.5687089869752526,0.6101299950387329,0.6771842773538083,0.6932689866516739,0.8997889875900003,1.5520160086452948,0.21408937277225382,31.614640199391193,23627.246725990484,0.7368,0.63437,0.459392,16,16,10000,2025-02-27 08:36:21,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",4,10,,,,,0.4875878486491274,,0.6556990148965269,0.6911289819981903,0.7463889778591692,0.7801405578386038,0.8294600120279938,0.9331615932751447,1.2754550029058003,0.13406209250332562,17.184351096262386,20509.124720202144,0.8187,0.73459,0.573217,16,16,10000,2025-02-27 08:36:22,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",8,10,,,,,0.6935083079733886,,0.9167990006972104,0.9813490032684058,1.0775990085676312,1.1096132927574218,1.1920690012630075,1.3399445917457342,1.7768123978748915,0.18586772229522483,16.750675528889715,14419.437928901814,0.8791,0.81421,0.679174,16,16,10000,2025-02-27 08:36:24,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",16,10,,,,,1.1131885770882946,,1.448858401272446,1.5574879944324493,1.724109024507925,1.7811017233412714,1.9356380216777325,2.1989474014844745,2.7017225965391845,0.30874833266466795,17.334682720168793,8983.203929523283,0.9272,0.87927,0.775332,16,16,10000,2025-02-27 08:36:25,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",32,10,,,,,1.973630295979092,,2.54406159510836,2.735037007369101,3.035977017134428,3.157808473566547,3.4400169970467687,3.9484099892433733,4.824922430561855,0.5692358455591029,18.02629419497968,5066.805075080757,0.9599,0.92882,0.857,16,16,10000,2025-02-27 08:36:28,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",64,10,,,,,3.7158305558841676,,4.760821402305737,5.157484993105754,5.691013997420669,5.945328889414668,6.566184019902721,7.584374607540667,8.99508740287274,1.1367761110434178,19.120491602531615,2691.1883762203843,0.98,0.96264,0.919183,16,16,10000,2025-02-27 08:36:32,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",128,10,,,,,7.334942296001827,,9.580282593378797,10.305689997039735,11.396638001315296,11.735907673602924,12.791867018677294,14.452045410871506,17.936936636688184,1.9663159314827148,16.754698368200913,1363.3372419917819,0.9911,0.98296,0.961193,16,16,10000,2025-02-27 08:36:40,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
SIFT10M,default,42,1,CrackIVF-END,15365,"[100, 2180, 10655, 15365]",256,10,,,,,13.487438807846047,,18.36162799736485,19.362061022548005,20.849679014645517,21.579902092553674,23.142727004596964,26.04157460737042,30.9774173470214,3.1005037322132876,14.367552359207144,741.4306112872001,0.9972,0.99401,0.985022,16,16,10000,2025-02-27 08:36:54,python run_ours.py --result_path ./results/ --baselines_path ./results/SIFT1M_default_BASELINES/baseline_results.csv --dbname SIFT10M --skew default --store --target_queries 1000000 --get_qps --clear_results --nruns 1 --seed 42 --nthreads 16 --runid 0 --run_desc 20250227-1M-alpha_0.5-MINPTS_2-Pts2CentThres_64-conv_200-nthread_16 --index_name CrackIVF --topK 100 --niter 10 --nprobe 99999 --nlist 100 --batch_size None --detailed
